Timestamp,Class,Confidence,Centroid_X,Centroid_Y,Zone,Session_ZoneA,Session_ZoneB
12:27:57,ripe,0.78,363,352,A,1,0
12:27:58,ripe,0.76,360,339,A,2,0
12:28:01,ripe,0.80,298,214,A,3,0
12:28:02,defective,0.74,318,201,B,3,1
12:28:02,ripe,0.62,335,352,A,4,1
12:28:03,defective,0.80,318,181,B,4,2
12:28:03,ripe,0.72,332,339,A,5,2
12:28:03,defective,0.70,309,169,B,5,3
12:28:03,ripe,0.56,335,380,A,6,3
12:28:03,defective,0.80,314,166,B,6,4
12:28:03,ripe,0.68,335,350,A,7,4
12:28:03,defective,0.70,317,165,B,7,5
12:28:03,ripe,0.69,335,346,A,8,5
12:28:03,defective,0.78,319,168,B,8,6
12:28:03,ripe,0.62,336,355,A,9,6
12:28:04,defective,0.85,321,172,B,9,7
12:28:04,ripe,0.66,341,354,A,10,7
12:28:04,defective,0.80,331,188,B,10,8
12:28:04,ripe,0.66,344,365,A,11,8
12:28:04,defective,0.83,336,194,B,11,9
12:28:04,ripe,0.65,345,366,A,12,9
12:28:04,defective,0.85,342,198,B,12,10
12:28:04,ripe,0.51,365,391,A,13,10
12:28:05,defective,0.70,346,198,B,13,11
12:28:05,ripe,0.58,347,196,A,14,11
12:28:05,defective,0.66,357,201,B,14,12
12:28:05,ripe,0.72,361,195,A,15,12
12:28:05,defective,0.70,360,201,B,15,13
12:28:05,ripe,0.55,374,391,A,16,13
12:28:06,defective,0.77,366,186,B,16,14
12:28:06,ripe,0.70,337,322,A,17,14
12:28:08,ripe,0.76,299,404,A,18,14
12:28:12,defective,0.70,332,349,B,18,15
12:28:14,ripe,0.59,115,452,A,19,15
12:28:16,ripe,0.62,98,464,A,20,15
